product_name,woolies_price,coles_price
4 Pines Brewing Company Pale Ale Bottles 6x330ml pack,24,22
5 Seeds Apple Cider Crisp Cans 10x330ml pack,22,23
5 Seeds Lower Sugar Cider 24x345ml case,25,25
Brewmanity Social Beast Pale Ale Can 375ml x6 pack,24.5,25
Bridge Road Brewers Beechworth Pale Ale Bottles 6x330ml pack,25,26
Carlton Dry Bottle 330ml x24 pack,28,27
Carlton Dry Lime Bottle 24x330ml,28,25
Carlton Zero Bottle 330ml x24 pack,20,20
Coopers Mild Ale Stubbies 24x375ml case,25,29
Coopers Pale Ale Can 4x6x375ml,25,25
Frothy Beer Can 24x375ml,25,25
Great Northern Brewing Co Super Crisp Lager Cans 30x375ml case,27,16
Hahn Ultra Crisp Bottle 24 x330ml carton,25,20
Hawkers Indian Pale Ale Bottles 330ml x24 case,28,18
Hawkers Pale Ale 330ml x24 case,25,23
Heineken Premium Lager Stubbies 24x330ml case,23,21
Heineken 3 Mid Strength Lager Stubby 330ml x24pack,23,12
Iron Jack Crisp Australian Lager 30x375ml can,24,24
Iron Jack Crisp Australian Lager 24x330ml bottles,25,24
James Squire Hop Thief Pale Ale Bottles 24x345ml case,25,25
James Squire The Swindler Summer Ale Bottles 24x345ml case,22,22
Kirin Ichiban First Press Beer Bottles 24x330ml case,30,18
Little Creatures Pale Ale Bottles 24x330ml case,25,25
Cat litter,5.9,5.9
S26 Gold Toddler 1 year,20,17
Nan Optipro 6-12 Months,22.5,22
Natural Baby Wipes,5.95,6.3
Ultra dry Nappies 10-15kg,30,30
Medicated Nappy Rash Spray,7,10
Baby Wash Top to Toe,8,8
Ultimate Nappies Newborn,16,16
Baby Lotion,8,8
Feeding Bottle,6.9,8.97
Complete Moisturiser Lotion spf15,15.4,15.4
Lozenge & Decongestant Tablet kit,16,12.8
Tissue Mask Vitamin C shot,7,4.9
Deodrant Roll On Stick,5.5,5.5
Hay fever Rapid acting capsules,13.5,11
SunScreen spf 50,9,9
Double edges shaving blades,14,14.75
Hairspray Extra Hold,15,15
Body Lotion Aloe Sooth,10,13
duracell,5.5,5.5
sunny queen free range large eggs 18 pk,8,7
manning valley free range extra large eggs 12 pk,6,5.5
flora proactive margarine spread 500g,6,6
flora sea salt butter,15,14.8
bega tasty cheese block,5,6.3
coon tasty cheese block,8.5,9.5
coon tasty cheese slice 24 pk,7.5,7.5
danish fetta cheese per kg,14.99,15
yarra valley persian fetta cheese,10,10
bega original cheese stringers,6,6
philadelphia cream cheese block,10.3,7.4
bega tasty grated cheese,8.2,8.2
chobani plain greek yogurt no fat 907g,6.3,6.3
vaalia yogurt 900g,5.5,5.5
pauls vanilla custard 2kg,7.7,7.7
helga's mixed grain bread,13,13
golden crumpets 6pk,20,20
bazzar gourmet pizza base 2 pk,6,6
mission wholegrain wraps 8 pk,5,5
mountain bread natural wrap 8 pk,16,15
tip top white bread hot dog roll,13,13
Saxa Table Salt Plain 750g,12,12
